Searching for text files...
Found 50000 files. Starting processing...

Worker-8 -> file10243.txt: 7678 slow
Worker-3 -> file10235.txt: 8497 slow
Worker-5 -> file10240.txt: 8393 slow
Worker-4 -> file10247.txt: 7327 slow
Worker-1 -> file10249.txt: 5517 slow
Worker-7 -> file10248.txt: 5889 slow
Worker-2 -> file10242.txt: 9495 slow
Worker-7 -> file10255.txt: 2391 slow
Worker-3 -> file10251.txt: 5329 slow
Worker-5 -> file10252.txt: 4259 slow
Worker-1 -> file10254.txt: 3934 slow
Worker-6 -> file1025.txt: 9033 slow
Worker-4 -> file10253.txt: 5076 slow
Worker-5 -> file10259.txt: 2019 slow
Worker-8 -> file10250.txt: 9445 slow
Worker-7 -> file10257.txt: 4559 slow
Worker-6 -> file10260.txt: 4046 slow
Worker-3 -> file10258.txt: 6383 slow
Worker-2 -> file10256.txt: 9330 slow
Worker-5 -> file10262.txt: 6707 slow
Worker-4 -> file10261.txt: 7546 slow
Worker-8 -> file10263.txt: 6995 slow
Worker-7 -> file10264.txt: 5591 slow
Worker-1 -> file1026.txt: 9169 slow
Worker-2 -> file10267.txt: 6619 slow
Worker-6 -> file10265.txt: 8121 slow
Worker-8 -> file1027.txt: 5175 slow
Worker-1 -> file10271.txt: 5621 slow
Worker-3 -> file10266.txt: 9983 slow
Worker-4 -> file10268.txt: 6972 slow
Worker-2 -> file10272.txt: 2975 slow
Worker-7 -> file10270.txt: 7380 slow
Worker-5 -> file10269.txt: 8596 slow
Worker-2 -> file10278.txt: 3154 slow
Worker-6 -> file10273.txt: 6191 slow
Worker-1 -> file10275.txt: 3412 slow
Worker-6 -> file10281.txt: 3476 slow
Worker-8 -> file10274.txt: 7690 slow
Worker-2 -> file10280.txt: 3939 slow
Worker-3 -> file10276.txt: 7723 slow
Worker-4 -> file10277.txt: 8708 slow
Worker-5 -> file1028.txt: 7006 slow
Worker-2 -> file10285.txt: 2590 slow
Worker-5 -> file10288.txt: 1560 slow
Worker-1 -> file10282.txt: 7037 slow
Worker-6 -> file10283.txt: 4563 slow
Worker-7 -> file10279.txt: 9348 slow
Worker-3 -> file10286.txt: 5550 slow
Worker-8 -> file10284.txt: 7824 slow
Worker-6 -> file10291.txt: 5402 slow
Worker-2 -> file10289.txt: 6863 slow
Worker-8 -> file10294.txt: 2599 slow
Worker-4 -> file10287.txt: 9764 slow
Worker-1 -> file10290.txt: 7940 slow
Worker-8 -> file10297.txt: 1137 slow
Worker-7 -> file10292.txt: 8239 slow
Worker-5 -> file1029.txt: 9356 slow
Worker-4 -> file10298.txt: 3222 slow
Worker-6 -> file10295.txt: 5091 slow
Worker-3 -> file10293.txt: 9425 slow
Worker-6 -> file10302.txt: 1903 slow
Worker-8 -> file103.txt: 5217 slow
Worker-5 -> file10300.txt: 4563 slow
Worker-1 -> file10299.txt: 6767 slow
Worker-7 -> file1030.txt: 6437 slow
Worker-3 -> file10303.txt: 3153 slow
Worker-2 -> file10296.txt: 9607 slow
Worker-3 -> file10309.txt: 1058 slow
Worker-7 -> file10308.txt: 4302 slow
Worker-4 -> file10301.txt: 8887 slow
Worker-1 -> file10307.txt: 5098 slow
Worker-8 -> file10305.txt: 6377 slow
Worker-6 -> file10304.txt: 9295 slow
Worker-2 -> file1031.txt: 6667 slow
Worker-2 -> file10316.txt: 2186 slow
Worker-5 -> file10306.txt: 5798 slow
Worker-5 -> file10318.txt: 2263 slow
Worker-8 -> file10314.txt: 7646 slow
Worker-3 -> file10310.txt: 5416 slow
Worker-7 -> file10311.txt: 8724 slow
Worker-4 -> file10312.txt: 9292 slow
Worker-8 -> file1032.txt: 1503 slow
Worker-1 -> file10313.txt: 9904 slow
Worker-6 -> file10315.txt: 7948 slow
Worker-3 -> file10320.txt: 3074 slow
Worker-1 -> file10324.txt: 1349 slow
Worker-2 -> file10317.txt: 6881 slow
Worker-5 -> file10319.txt: 4536 slow
Worker-4 -> file10322.txt: 3410 slow
Worker-8 -> file10323.txt: 3189 slow
Worker-5 -> file10329.txt: 2245 slow
Worker-1 -> file10327.txt: 2835 slow
Worker-7 -> file10321.txt: 7010 slow
Worker-6 -> file10325.txt: 4285 slow
Worker-2 -> file10328.txt: 4257 slow
Worker-3 -> file10326.txt: 7823 slow
Worker-3 -> file10336.txt: 1325 slow
Worker-1 -> file10332.txt: 5780 slow
Worker-6 -> file10333.txt: 5085 slow
Worker-8 -> file10330.txt: 7088 slow
Worker-4 -> file1033.txt: 9274 slow
Worker-2 -> file10335.txt: 6335 slow
Worker-3 -> file10337.txt: 1591 slow
Worker-4 -> file10340.txt: 2199 slow
Worker-5 -> file10331.txt: 9605 slow
Worker-4 -> file10343.txt: 1356 slow
Worker-2 -> file10341.txt: 3801 slow
Worker-7 -> file10334.txt: 9460 slow
Worker-8 -> file1034.txt: 4955 slow
Worker-1 -> file10338.txt: 6077 slow
Worker-6 -> file10339.txt: 6281 slow
Worker-8 -> file10348.txt: 1151 slow
Worker-7 -> file10347.txt: 1570 slow
Worker-4 -> file10345.txt: 4476 slow
Worker-3 -> file10342.txt: 7789 slow
Worker-7 -> file10351.txt: 2393 slow
Worker-6 -> file1035.txt: 4113 slow
Worker-4 -> file10352.txt: 2553 slow
Worker-8 -> file10350.txt: 4648 slow
Worker-5 -> file10344.txt: 7961 slow
Worker-8 -> file10357.txt: 2034 slow
Worker-6 -> file10355.txt: 3309 slow
Worker-1 -> file10349.txt: 8639 slow
Worker-2 -> file10346.txt: 9450 slow
Worker-3 -> file10353.txt: 7333 slow
Worker-4 -> file10356.txt: 6053 slow
Worker-8 -> file10359.txt: 3374 slow
Worker-7 -> file10354.txt: 8685 slow
Worker-6 -> file1036.txt: 6519 slow
Worker-3 -> file10362.txt: 2802 slow
Worker-5 -> file10358.txt: 9932 slow
Worker-8 -> file10364.txt: 3045 slow
Worker-4 -> file10363.txt: 4966 slow
Worker-1 -> file10360.txt: 8004 slow
Worker-2 -> file10361.txt: 9375 slow
Worker-3 -> file10367.txt: 3130 slow
Worker-6 -> file10366.txt: 5543 slow
Worker-4 -> file1037.txt: 1948 slow
Worker-6 -> file10373.txt: 3783 slow
Worker-7 -> file10365.txt: 9058 slow
Worker-4 -> file10374.txt: 3805 slow
Worker-5 -> file10368.txt: 8442 slow
Worker-1 -> file10370.txt: 7472 slow
Worker-4 -> file10377.txt: 2444 slow
Worker-6 -> file10375.txt: 6289 slow
Worker-7 -> file10376.txt: 3451 slow
Worker-3 -> file10371.txt: 7352 slow
Worker-1 -> file10379.txt: 1360 slow
Worker-8 -> file10369.txt: 9935 slow
Worker-2 -> file10372.txt: 8612 slow
Worker-6 -> file10380.txt: 4498 slow
Worker-3 -> file10382.txt: 2535 slow
Worker-2 -> file10385.txt: 2285 slow
Worker-5 -> file10378.txt: 5752 slow
Worker-7 -> file10381.txt: 4815 slow
Worker-8 -> file10384.txt: 3906 slow
Worker-2 -> file10388.txt: 1565 slow
Worker-4 -> file1038.txt: 6883 slow
Worker-1 -> file10383.txt: 5891 slow
Worker-7 -> file1039.txt: 1175 slow
Worker-8 -> file10390.txt: 3574 slow
Worker-6 -> file10387.txt: 8097 slow
Worker-1 -> file10393.txt: 4085 slow
Worker-5 -> file10389.txt: 5572 slow
Worker-4 -> file10392.txt: 5366 slow
Worker-7 -> file10394.txt: 6313 slow
Worker-1 -> file10397.txt: 2781 slow
Worker-5 -> file10398.txt: 2476 slow
Worker-6 -> file10396.txt: 6048 slow
Worker-1 -> file1040.txt: 1188 slow
Worker-2 -> file10391.txt: 8690 slow
Worker-3 -> file10386.txt: 5923 slow
Worker-6 -> file10401.txt: 2894 slow
Worker-4 -> file10399.txt: 6161 slow
Worker-6 -> file10405.txt: 1418 slow
Worker-8 -> file10395.txt: 9101 slow
Worker-2 -> file10403.txt: 3784 slow
Worker-7 -> file104.txt: 6358 slow
Worker-8 -> file10408.txt: 1852 slow
Worker-6 -> file10407.txt: 4585 slow
Worker-7 -> file1041.txt: 2469 slow
Worker-5 -> file10400.txt: 7991 slow
Worker-4 -> file10406.txt: 3923 slow
Worker-3 -> file10404.txt: 6851 slow
Worker-2 -> file10409.txt: 4106 slow
Worker-1 -> file10402.txt: 8819 slow
Worker-6 -> file10411.txt: 7414 slow
Worker-4 -> file10414.txt: 3255 slow
Worker-6 -> file10418.txt: 2476 slow
Worker-1 -> file10417.txt: 4307 slow
Worker-8 -> file10410.txt: 8295 slow
Worker-1 -> file10420.txt: 1310 slow
Worker-2 -> file10416.txt: 6983 slow
Worker-6 -> file1042.txt: 6398 slow
Worker-3 -> file10415.txt: 8361 slow
Worker-7 -> file10412.txt: 9907 slow
Worker-5 -> file10413.txt: 9884 slow
Worker-8 -> file10421.txt: 3374 slow
Worker-6 -> file10424.txt: 3682 slow
Worker-4 -> file10419.txt: 9208 slow
Worker-3 -> file10425.txt: 3920 slow
Worker-1 -> file10422.txt: 5498 slow
Worker-7 -> file10426.txt: 4577 slow
Worker-6 -> file10429.txt: 4487 slow
Worker-2 -> file10423.txt: 6606 slow
Worker-6 -> file10433.txt: 3667 slow
Worker-7 -> file10432.txt: 3034 slow
Worker-2 -> file10434.txt: 2985 slow
Worker-5 -> file10427.txt: 8252 slow
Worker-1 -> file10431.txt: 4382 slow
Worker-8 -> file10428.txt: 8211 slow
Worker-7 -> file10436.txt: 2442 slow
Worker-6 -> file10435.txt: 5117 slow
Worker-5 -> file10438.txt: 1729 slow
Worker-3 -> file10430.txt: 7939 slow
Worker-4 -> file1043.txt: 7955 slow
Worker-6 -> file10441.txt: 1860 slow
Worker-8 -> file1044.txt: 2517 slow
Worker-8 -> file10446.txt: 1224 slow
Worker-4 -> file10444.txt: 3213 slow
Worker-1 -> file10439.txt: 6816 slow
Worker-2 -> file10437.txt: 6921 slow
Worker-3 -> file10443.txt: 4353 slow
Worker-7 -> file10440.txt: 6714 slow
Worker-8 -> file10447.txt: 5477 slow
Worker-5 -> file10442.txt: 8854 slow
Worker-6 -> file10445.txt: 9735 slow
Worker-2 -> file1045.txt: 5027 slow
Worker-1 -> file10449.txt: 7085 slow
Worker-3 -> file10450.txt: 6353 slow
Worker-8 -> file10452.txt: 6178 slow
Worker-4 -> file10448.txt: 9190 slow
Worker-7 -> file10451.txt: 7688 slow
Worker-4 -> file10459.txt: 1508 slow
Worker-1 -> file10456.txt: 3849 slow
Worker-5 -> file10453.txt: 7915 slow
Worker-6 -> file10454.txt: 7090 slow
Worker-2 -> file10455.txt: 8118 slow
Worker-7 -> file1046.txt: 4634 slow
Worker-1 -> file10461.txt: 3558 slow
Worker-6 -> file10463.txt: 4823 slow
Worker-4 -> file10460.txt: 6903 slow
Worker-1 -> file10466.txt: 2812 slow
Worker-8 -> file10458.txt: 9217 slow
Worker-7 -> file10465.txt: 5051 slow
Worker-3 -> file10457.txt: 7187 slow
Worker-2 -> file10464.txt: 7429 slow
Worker-5 -> file10462.txt: 9376 slow
Worker-1 -> file10469.txt: 5351 slow
Worker-4 -> file10468.txt: 5572 slow
Worker-6 -> file10467.txt: 8765 slow
Worker-8 -> file1047.txt: 6816 slow
Worker-8 -> file10477.txt: 1081 slow
Worker-5 -> file10473.txt: 2939 slow
Worker-4 -> file10475.txt: 3407 slow
Worker-6 -> file10476.txt: 6090 slow
Worker-7 -> file10470.txt: 8521 slow
Worker-3 -> file10471.txt: 7998 slow
Worker-6 -> file10480.txt: 1119 slow
Worker-1 -> file10474.txt: 6140 slow
Worker-8 -> file10478.txt: 4302 slow
Worker-6 -> file10483.txt: 2317 slow
Worker-2 -> file10472.txt: 8597 slow
Worker-6 -> file10486.txt: 1398 slow
Worker-7 -> file10481.txt: 4059 slow
Worker-3 -> file10482.txt: 4424 slow
Worker-6 -> file10488.txt: 1335 slow
Worker-5 -> file10479.txt: 9016 slow
Worker-4 -> file1048.txt: 8069 slow
Worker-1 -> file10484.txt: 5639 slow
Worker-6 -> file10490.txt: 3825 slow
Worker-5 -> file10491.txt: 1181 slow
Worker-7 -> file10489.txt: 5375 slow
Worker-2 -> file10487.txt: 7331 slow
Worker-6 -> file10494.txt: 6027 slow
Worker-8 -> file10485.txt: 9155 slow
Worker-5 -> file10495.txt: 3992 slow
Worker-6 -> file10498.txt: 2473 slow
Worker-3 -> file1049.txt: 8503 slow
Worker-1 -> file10493.txt: 6855 slow
Worker-5 -> file105.txt: 2102 slow
Worker-4 -> file10492.txt: 9359 slow
Worker-6 -> file1050.txt: 6549 slow
Worker-7 -> file10496.txt: 7745 slow
Worker-2 -> file10497.txt: 7620 slow
Worker-8 -> file10499.txt: 6576 slow
Worker-6 -> file10504.txt: 3728 slow
Worker-7 -> file10505.txt: 3126 slow
Worker-3 -> file10500.txt: 7682 slow
Worker-5 -> file10502.txt: 6426 slow
Worker-7 -> file10509.txt: 2373 slow
Worker-4 -> file10503.txt: 6435 slow
Worker-1 -> file10501.txt: 9770 slow
Worker-2 -> file10506.txt: 5757 slow
Worker-6 -> file10508.txt: 8231 slow
Worker-2 -> file10514.txt: 1903 slow
Worker-5 -> file10510.txt: 5170 slow
Worker-1 -> file10513.txt: 2357 slow
Worker-8 -> file10507.txt: 7894 slow
Worker-3 -> file1051.txt: 6761 slow
Worker-8 -> file10519.txt: 2101 slow
Worker-6 -> file10515.txt: 4002 slow
Worker-7 -> file10511.txt: 8005 slow
Worker-6 -> file10521.txt: 1555 slow
Worker-4 -> file10512.txt: 7794 slow
Worker-1 -> file10518.txt: 4626 slow
Worker-3 -> file1052.txt: 4149 slow
Worker-5 -> file10517.txt: 6047 slow
Worker-6 -> file10523.txt: 1488 slow
Worker-8 -> file10520.txt: 3596 slow
Worker-5 -> file10527.txt: 2285 slow
Worker-2 -> file10516.txt: 8557 slow
Worker-4 -> file10524.txt: 3808 slow
Worker-8 -> file10529.txt: 4053 slow
Worker-7 -> file10522.txt: 6957 slow
Worker-3 -> file10526.txt: 7146 slow
Worker-1 -> file10525.txt: 7405 slow
Worker-5 -> file10530.txt: 3682 slow
Worker-6 -> file10528.txt: 7063 slow
Worker-3 -> file10534.txt: 2715 slow
Worker-5 -> file10536.txt: 3137 slow
